comparison,treatment_arm,control_arm,group,metric,eligible_examples,treatment,control,delta_treatment_minus_control,treatment_only_true,control_only_true,paired_ties,ci_low,ci_high,cluster_sign_flip_p
clean_sft_minus_standard_v3,clean_sft,standard_v3,overall,json_valid,959,0.9947862356621481,0.9989572471324296,-0.004171011470281538,1,5,953,-0.009308820508825113,0.0,0.22027797220277973
clean_sft_minus_standard_v3,clean_sft,standard_v3,overall,tool_name_correct,959,0.5964546402502607,0.5964546402502607,0.0,19,19,921,-0.013387030263912794,0.012437951644492469,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,overall,arguments_exact,959,0.3222106360792492,0.3180396246089677,0.004171011470281538,12,8,939,-0.003732280807020175,0.012232415902140673,0.4657534246575342
clean_sft_minus_standard_v3,clean_sft,standard_v3,overall,full_call_exact,959,0.31282586027111575,0.310740354535975,0.002085505735140769,11,9,939,-0.006965260803993968,0.010367724412497408,0.8147185281471853
clean_sft_minus_standard_v3,clean_sft,standard_v3,overall,exact_failed_call_replay_rate_on_strict_pairs,48,0.125,0.14583333333333334,-0.020833333333333343,0,1,47,-0.06666666666666667,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,outcome_success,json_valid,902,0.9955654101995566,0.9988913525498891,-0.003325942350332567,1,4,897,-0.008523030356911935,0.0010822510822510823,0.37376262373762625
clean_sft_minus_standard_v3,clean_sft,standard_v3,outcome_success,tool_name_correct,902,0.5875831485587583,0.5853658536585366,0.0022172949002217113,17,15,870,-0.012559034084838123,0.016145401783755665,0.885011498850115
clean_sft_minus_standard_v3,clean_sft,standard_v3,outcome_success,arguments_exact,902,0.30155210643015523,0.29490022172949004,0.006651884700665189,12,6,884,-0.001250196540880503,0.014583333333333334,0.21507849215078492
clean_sft_minus_standard_v3,clean_sft,standard_v3,outcome_success,full_call_exact,902,0.2926829268292683,0.28824833702882485,0.0044345898004434225,11,7,884,-0.005015139521450172,0.0127524588475135,0.49095090490950904
clean_sft_minus_standard_v3,clean_sft,standard_v3,outcome_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.125,0.14583333333333334,-0.020833333333333343,0,1,47,-0.06666666666666667,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,failed_gold,json_valid,57,0.9824561403508771,1.0,-0.01754385964912286,0,1,56,-0.058823529411764705,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,failed_gold,tool_name_correct,57,0.7368421052631579,0.7719298245614035,-0.03508771929824561,2,4,51,-0.0641025641025641,0.0,0.49365063493650635
clean_sft_minus_standard_v3,clean_sft,standard_v3,failed_gold,arguments_exact,57,0.6491228070175439,0.6842105263157895,-0.03508771929824561,0,2,55,-0.07407407407407407,0.0,0.5010498950104989
clean_sft_minus_standard_v3,clean_sft,standard_v3,failed_gold,failed_action_imitation_rate,57,0.631578947368421,0.6666666666666666,-0.03508771929824561,0,2,55,-0.07408789386401325,0.0,0.49905009499050096
clean_sft_minus_standard_v3,clean_sft,standard_v3,non_recovery_success,json_valid,852,0.9953051643192489,0.9988262910798122,-0.0035211267605633756,1,4,847,-0.0089421160157188,0.0012106904395039985,0.37776222377762225
clean_sft_minus_standard_v3,clean_sft,standard_v3,non_recovery_success,tool_name_correct,852,0.5845070422535211,0.5821596244131455,0.0023474178403756207,17,15,820,-0.013612565445026177,0.01702127659574468,0.8842115788421158
clean_sft_minus_standard_v3,clean_sft,standard_v3,non_recovery_success,arguments_exact,852,0.284037558685446,0.27816901408450706,0.005868544600938941,11,6,835,-0.00335204904203067,0.014833419242696448,0.33196680331966805
clean_sft_minus_standard_v3,clean_sft,standard_v3,non_recovery_success,full_call_exact,852,0.27582159624413144,0.27230046948356806,0.0035211267605633756,10,7,835,-0.006593479080286468,0.012889712761165581,0.6519348065193481
clean_sft_minus_standard_v3,clean_sft,standard_v3,recovery_success,json_valid,50,1.0,1.0,0.0,0,0,50,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,recovery_success,tool_name_correct,50,0.64,0.64,0.0,0,0,50,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,recovery_success,arguments_exact,50,0.6,0.58,0.020000000000000018,1,0,49,0.0,0.08108108108108109,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,recovery_success,full_call_exact,50,0.58,0.56,0.019999999999999907,1,0,49,0.0,0.07894736842105263,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,recovery_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.125,0.14583333333333334,-0.020833333333333343,0,1,47,-0.06666666666666667,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,agent_initiated,json_valid,12,1.0,1.0,0.0,0,0,12,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,agent_initiated,tool_name_correct,12,0.0,0.0,0.0,0,0,12,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,agent_initiated,arguments_exact,12,0.0,0.0,0.0,0,0,12,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,agent_initiated,full_call_exact,12,0.0,0.0,0.0,0,0,12,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,agent_initiated,exact_failed_call_replay_rate_on_strict_pairs,12,0.25,0.3333333333333333,-0.08333333333333331,0,1,11,-0.21428571428571427,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,json_valid,38,1.0,1.0,0.0,0,0,38,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,tool_name_correct,38,0.8421052631578947,0.8421052631578947,0.0,0,0,38,0.0,0.0,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,arguments_exact,38,0.7894736842105263,0.7631578947368421,0.02631578947368418,1,0,37,0.0,0.10344827586206896,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,full_call_exact,38,0.7631578947368421,0.7368421052631579,0.026315789473684292,1,0,37,0.0,0.10344827586206896,1.0
clean_sft_minus_standard_v3,clean_sft,standard_v3,user_assisted,exact_failed_call_replay_rate_on_strict_pairs,36,0.08333333333333333,0.08333333333333333,0.0,0,0,36,0.0,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,json_valid,959,0.9885297184567258,0.9947862356621481,-0.006256517205422307,3,9,947,-0.017781842397871398,0.003393665158371041,0.5007499250074993
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,tool_name_correct,959,0.470281543274244,0.5964546402502607,-0.12617309697601675,22,143,794,-0.1694741302408564,-0.08635971786833861,9.999000099990002e-05
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,arguments_exact,959,0.28258602711157454,0.3222106360792492,-0.03962460896767467,16,54,889,-0.05764479206721919,-0.023401507628854425,0.00039996000399960006
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,full_call_exact,959,0.27424400417101147,0.31282586027111575,-0.038581856100104284,13,50,896,-0.05512739394259242,-0.022803212664752052,0.00019998000199980003
continued_sft_minus_clean_sft,continued_sft,clean_sft,overall,exact_failed_call_replay_rate_on_strict_pairs,48,0.10416666666666667,0.125,-0.02083333333333333,3,4,41,-0.1590909090909091,0.13043478260869565,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,json_valid,902,0.9900221729490022,0.9955654101995566,-0.005543237250554389,3,8,891,-0.018140650070060042,0.0042436957068595895,0.6535346465353464
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,tool_name_correct,902,0.45787139689578715,0.5875831485587583,-0.1297117516629711,21,138,743,-0.175156842820465,-0.09060330805944157,9.999000099990002e-05
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,arguments_exact,902,0.2583148558758315,0.30155210643015523,-0.04323725055432376,15,54,833,-0.0618999671067279,-0.02698813836177308,0.00039996000399960006
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,full_call_exact,902,0.25055432372505543,0.2926829268292683,-0.04212860310421285,12,50,840,-0.0594760044440824,-0.0259009009009009,0.0006999300069993001
continued_sft_minus_clean_sft,continued_sft,clean_sft,outcome_success,exact_failed_call_replay_rate_on_strict_pairs,48,0.10416666666666667,0.125,-0.02083333333333333,3,4,41,-0.1590909090909091,0.125,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,json_valid,57,0.9649122807017544,0.9824561403508771,-0.01754385964912275,0,1,56,-0.04918032786885246,0.0,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,tool_name_correct,57,0.6666666666666666,0.7368421052631579,-0.07017543859649122,1,5,51,-0.2037037037037037,0.025,0.5034496550344966
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,arguments_exact,57,0.6666666666666666,0.6491228070175439,0.01754385964912275,1,0,56,0.0,0.04477611940298507,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,failed_gold,failed_action_imitation_rate,57,0.6491228070175439,0.631578947368421,0.01754385964912286,1,0,56,0.0,0.04411764705882353,1.0
continued_sft_minus_clean_sft,continued_sft,clean_sft,non_recovery_success,json_valid,852,0.9894366197183099,0.9953051643192489,-0.005868544600938996,3,8,841,-0.019430261641244867,0.0045662100456621,0.6519348065193481
